name,grade,city,gugun,dong,address,lat,lng
휘봉고등학교,고등학교,서울특별시,동대문구,휘경동,서울특별시 동대문구 한천로 290,37.5864773,127.0688515
건국대학교사범대학부속고등학교,고등학교,서울특별시,광진구,화양동,서울특별시 광진구 능동로 120,37.53918331,127.0747099
대원여자고등학교,고등학교,서울특별시,광진구,중곡동,서울특별시 광진구 용마산로22길 26,37.563079,127.0889497
동국대학교사범대학부속여자고등학교,고등학교,서울특별시,광진구,구의동,서울특별시 광진구 광나루로36길 47,37.5425112,127.0867784
노원고등학교,고등학교,서울특별시,노원구,상계동,서울특별시 노원구 노원로 586,37.6624531,127.0531016
불암고등학교,고등학교,서울특별시,노원구,중계동,서울특별시 노원구 중계로 155,37.648924,127.0801792
상계고등학교,고등학교,서울특별시,노원구,상계동,서울특별시 노원구 노해로 432,37.6525328,127.0556823
정의여자고등학교,고등학교,서울특별시,도봉구,쌍문동,서울특별시 도봉구 노해로49길 69,37.6529105,127.0318063
청량고등학교,고등학교,서울특별시,동대문구,청량리동,서울특별시 동대문구 왕산로 303,37.5887771,127.0510593
대성고등학교,고등학교,서울특별시,은평구,갈현동,서울특별시 은평구 갈현로29길 51-24,37.6222852,126.9095921
수락고등학교,고등학교,서울특별시,노원구,상계동,서울특별시 노원구 동일로245길 143,37.6827335,127.0535593
선덕고등학교,고등학교,서울특별시,도봉구,쌍문동,서울특별시 도봉구 시루봉로 53,37.655351,127.0268289
도봉고등학교,고등학교,서울특별시,도봉구,도봉동,서울특별시 도봉구 도봉산길 27,37.6867707,127.0428051
신일고등학교,고등학교,서울특별시,강북구,미아동,서울특별시 강북구 솔매로49길 20,37.6282824,127.0282661
미양고등학교,고등학교,서울특별시,강북구,미아동,서울특별시 강북구 인수봉로 39,37.6232973,127.0122428
용문고등학교,고등학교,서울특별시,성북구,안암동2가,서울특별시 성북구 인촌로17가길 46,37.5881284,127.0250507
경동고등학교,고등학교,서울특별시,성북구,삼선동3가,서울특별시 성북구 보문로29길 49,37.586143,127.0149687
원묵고등학교,고등학교,서울특별시,중랑구,묵동,서울특별시 중랑구 숙선옹주로 82,37.6151791,127.0855959
면목고등학교,고등학교,서울특별시,중랑구,면목동,서울특별시 중랑구 용마산로72길 36-14,37.5842779,127.0971627
대광고등학교,고등학교,서울특별시,동대문구,신설동,서울특별시 동대문구 안암로 6,37.577861,127.0247227
경희고등학교,고등학교,서울특별시,동대문구,이문동,서울특별시 동대문구 경희대로 26,37.5939495,127.0548902
